# EPIC-KITCHENS / VISOR contact object labels
# 937 unique names, sorted by contact-frame count
#
# count  name
  3717  knife
  1703  spoon
  1379  pan
  1226  sponge
  1115  spatula
  1038  bowl
   992  chopping board
   907  tap
   902  drawer
   890  plate
   881  lid
   818  fork
   742  cupboard
   614  onion
   600  cloth
   564  pot
   516  wooden spoon
   495  fridge
   472  bag
   446  water
   435  glass
   390  colander
   344  mug
   331  garlic
   328  saucepan
   320  kettle
   294  mozzarella
   291  dough
   287  cup
   277  meat
   275  container
   269  pepper
   247  right glove
   242  sink
   226  hob
   225  bottle
   205  scissors
   204  clothes
   201  cucumber
   199  carrot
   193  oil bottle
   190  salt
   172  glove
   170  bin/garbage can/recycling bin
   169  cucumber piece
   167  peeler
   164  hob/cooktop/stovetop
   159  tea towel
   158  milk bottle
   157  can
   157  pak choi
   156  broccoli
   150  left glove
   147  pepper bit/piece
   146  oven
   140  frying pan
   139  jar
   138  towel
   137  potato
   136  chicken thigh
   126  paper
   124  aubergine
   121  box
   116  tupperware
   114  tong
   112  plastic bag
   112  ladle
   108  kitchen towel
   107  cereal box
   105  chopstick
   103  courgette
   103  coffee machine
   100  cheese
   100  egg
    97  teaspoon
    94  dishwasher
    91  carrot bit/piece
    89  flour bag
    88  rolling pin
    87  pasta bag
    86  baking paper
    84  tray
    83  spice
    83  chicken meat
    82  sieve spatula
    81  washing up bowl
    78  tuna patty
    75  corn
    75  aeropress
    74  switch
    74  mushroom
    73  bread
    73  pizza
    73  sieve
    73  packaging
    73  peach
    73  plastic spatula
    71  oil
    71  tomato
    71  mozzarella package
    69  cereal bag
    68  salt bottle
    67  mozzarella ball
    67  rag
    66  ice cube tray
    65  jug
    64  baking tray
    64  tofu piece
    63  water filter
    62  broccoli floret
    61  soy milk
    60  garlic skin
    60  saucepan lid
    58  cutlery
    58  lemon squeezer piece
    57  filter
    57  peel
    57  parsley
    56  olive
    56  microwave
    56  potato peeler
    52  sweet potato
    52  milk
    51  olive oil bottle
    51  scale
    51  chicken
    49  measuring cup
    49  grater
    49  plastic
    49  bell pepper
    48  sauce bottle
    48  chilli
    47  fish
    47  package
    46  washing up liquid
    46  packet
    46  garlic clove
    46  foil
    46  scourer
    46  coffee bag
    46  measuring jug
    45  flour
    45  stock cube
    45  thermometer
    44  coffee pot
    44  lime
    44  passata bottle/tomato puree bottle
    44  pesto sauce jar
    43  brush
    43  onion peel
    42  tongs
    42  wok
    42  glass bowl
    42  salt container
    42  lighter
    42  coffee holder
    42  mocha pot
    42  tin
    42  plastic plate
    41  cling film
    41  pot lid
    41  foil paper
    40  freezer
    40  clip
    40  pasta
    40  courgette pieces
    39  mozzarella bag
    39  rice cooker lid
    39  yoghurt
    39  grill
    39  salami
    38  rubbish bag
    38  washing machine
    38  oat package
    37  can opener
    37  banana
    37  cheese bag
    37  biscuit packaging
    37  steamed bun
    36  tea towel/dish towel
    36  ginger
    36  stove
    36  lunch box
    35  meat box
    35  jam jar
    35  waste
    34  bread bag
    34  cap
    34  rice bag
    34  place mat
    34  chicken bone
    34  spice jar
    34  garlic press
    34  oven mitt
    34  sugar bag
    33  meat packaging
    33  wooden spatula
    32  bottle cap
    32  olive oil
    32  knife sharpener
    31  kitchen roll
    31  tupperware lid
    31  bread slice
    31  butter package
    31  mesh
    31  broccoli piece
    31  pizza base
    30  mushroom package
    30  spring onion
    30  tomato sauce can
    29  drainer
    29  parsley package
    29  pak choi leaf
