# EPIC-KITCHENS object mask coverage
# 1059 categories · splits: train, val
# coverage = nonzero pixels / total pixels
#
#  median     mean      p10      p90      n  name
   0.7707   0.7254   0.6037   0.8289      3  floor
   0.7621   0.7621   0.7621   0.7621      1  window
   0.6440   0.6440   0.5526   0.7355      2  surface
   0.5557   0.5318   0.3081   0.7317      6  table
   0.4670   0.4670   0.4670   0.4670      1  stove top
   0.4514   0.4436   0.3767   0.5042      4  wall
   0.4374   0.4115   0.1439   0.6213     35  washing machine
   0.4291   0.4291   0.2977   0.5604      2  kitchen floor
   0.3988   0.3617   0.2071   0.5128     26  counter
   0.3722   0.4214   0.1410   0.8151    562  fridge
   0.3540   0.3540   0.3540   0.3540      1  clothes horse
   0.3092   0.3092   0.3092   0.3092      1  cup board
   0.2981   0.2683   0.0630   0.4681     23  cabinet
   0.2855   0.3301   0.0819   0.5584     19  refrigerator
   0.2820   0.2433   0.0689   0.4785     27  garbage bin
   0.2777   0.2867   0.1134   0.4557    288  sink
   0.2764   0.2686   0.1498   0.3994     13  drying rack
   0.2609   0.2609   0.2609   0.2609      1  desk
   0.2525   0.2525   0.2525   0.2525      1  shelf
   0.2405   0.1903   0.0508   0.3109      5  oven shelf
   0.2306   0.2414   0.0734   0.4675     52  microwave
   0.2261   0.2986   0.0627   0.7019     42  freezer
   0.2088   0.1620   0.0738   0.2315      3  shreddies
   0.2054   0.2178   0.0526   0.3897     45  door
   0.1992   0.2670   0.0371   0.6180    877  cupboard
   0.1989   0.1891   0.0827   0.2704     10  oven tray
   0.1988   0.1817   0.1303   0.2167      5  hob/stove hob
   0.1963   0.1956   0.1347   0.2562      3  other containers
   0.1954   0.1940   0.0986   0.2879    251  hob
   0.1832   0.2170   0.0567   0.4282    192  oven
   0.1824   0.1875   0.1702   0.2098      6  cooker
   0.1817   0.2038   0.0871   0.3124     16  cupboard door
   0.1786   0.1836   0.1155   0.2504    195  hob/cooktop/stovetop
   0.1697   0.1737   0.1582   0.1909      3  microwave oven
   0.1674   0.1856   0.0713   0.3521     35  stove
   0.1647   0.1529   0.0830   0.2020      7  fridge door
   0.1634   0.1634   0.1436   0.1832      2  board
   0.1574   0.1574   0.0537   0.2611      2  bags roll
   0.1544   0.1361   0.0738   0.1839      4  top
   0.1487   0.2206   0.1162   0.4016      5  laundry basket
   0.1482   0.1419   0.0334   0.2651     10  recycling bin
   0.1439   0.1274   0.1035   0.1448      3  stool
   0.1404   0.1422   0.0866   0.2020     29  drainer
   0.1389   0.1601   0.0532   0.2906     67  baking paper
   0.1314   0.1528   0.0438   0.3057    114  dishwasher
   0.1270   0.1342   0.0211   0.2283      9  white bag
   0.1252   0.1252   0.1112   0.1393      2  parchment paper
   0.1251   0.0974   0.0151   0.1664     15  washing powder box
   0.1233   0.1233   0.0675   0.1790      2  extractor
   0.1227   0.1227   0.1227   0.1227      1  wrap package
   0.1205   0.1103   0.0621   0.1543      3  plastic pot
   0.1202   0.1390   0.0193   0.2921    154  clothes
   0.1172   0.1564   0.0855   0.2470      7  pizza box
   0.1139   0.1408   0.0035   0.2748      8  pea
   0.1139   0.1167   0.0392   0.2391     27  place mat
   0.1135   0.1172   0.0720   0.1662      6  bread wrap bag
   0.1119   0.1119   0.0344   0.1893      2  laundry
   0.1098   0.1098   0.1098   0.1098      1  chilli bag
   0.1035   0.1032   0.0557   0.1447     13  dishwasher drawer
   0.1023   0.0789   0.0419   0.1066      3  foil package
   0.0989   0.0910   0.0292   0.1292     12  vegetable
   0.0981   0.0967   0.0475   0.1446      6  hamburger bun bag
   0.0970   0.0918   0.0295   0.1406     19  salad bowl
   0.0963   0.0998   0.0524   0.1510     26  food processor bowl
   0.0954   0.0954   0.0954   0.0954      1  metal plate
   0.0946   0.1011   0.0142   0.1566     11  cutting board
   0.0935   0.1032   0.0778   0.1318     32  trash bin
   0.0932   0.1001   0.0606   0.1626     21  grid
   0.0925   0.0894   0.0257   0.1558     20  silver foil
   0.0922   0.0876   0.0765   0.0955      5  trash can
   0.0914   0.1002   0.0126   0.1960    952  drawer
   0.0894   0.0894   0.0894   0.0894      1  coffee tray
   0.0881   0.0924   0.0399   0.1478    965  chopping board
   0.0876   0.1070   0.0463   0.1772      7  coconut package
   0.0871   0.0985   0.0368   0.1551     74  washing up bowl
   0.0858   0.0858   0.0858   0.0858      1  compost bin
   0.0841   0.0685   0.0401   0.0872      5  grill tray
   0.0792   0.0727   0.0624   0.0803      3  rubbish bin
   0.0783   0.0999   0.0217   0.1946    123  tray
   0.0778   0.0946   0.0409   0.1713     34  pizza base
   0.0769   0.1260   0.0503   0.2509      6  kitchen roll/paper towel roll
   0.0765   0.0857   0.0631   0.1120      3  tortilla packet
   0.0763   0.0793   0.0144   0.1852     41  cheese box
   0.0755   0.0767   0.0290   0.1196     16  flour packet
   0.0754   0.0892   0.0442   0.1577     69  pizza
   0.0751   0.0753   0.0123   0.1192     25  rubbish bag
   0.0746   0.0851   0.0535   0.1251      4  plastic bowl
   0.0729   0.0810   0.0238   0.1310    143  bin/garbage can/recycling bin
   0.0721   0.0721   0.0476   0.0966      2  mitten
   0.0715   0.0715   0.0485   0.0945      2  jeera bag
   0.0712   0.0815   0.0345   0.1372     61  baking tray
   0.0699   0.0850   0.0575   0.1308      7  food recycling bin
   0.0688   0.0688   0.0662   0.0715      2  trash bag
   0.0687   0.0687   0.0634   0.0739      2  apron
   0.0686   0.0686   0.0686   0.0686      1  electronic pot
   0.0685   0.0666   0.0280   0.0936     11  salmon packet
   0.0684   0.0684   0.0684   0.0684      1  salt jar
   0.0679   0.0958   0.0484   0.1436     10  rice cooker
   0.0673   0.0721   0.0302   0.1228    111  coffee machine
   0.0669   0.0663   0.0620   0.0703      3  recycling box
   0.0668   0.0687   0.0110   0.1279      4  coaster
   0.0668   0.0730   0.0043   0.1480      6  napkin
   0.0664   0.0664   0.0664   0.0664      1  machine
   0.0663   0.0663   0.0607   0.0718      2  base
   0.0660   0.0696   0.0006   0.1347     11  kale
   0.0652   0.0645   0.0631   0.0655      3  steamer lid
   0.0643   0.0718   0.0613   0.0853      3  fan
   0.0640   0.0735   0.0620   0.0888      3  dust bin
   0.0640   0.0677   0.0233   0.0879     22  cooking pot
   0.0631   0.0679   0.0385   0.1085     21  paper piece
   0.0626   0.0626   0.0602   0.0650      2  rice cooker bucket
   0.0621   0.0776   0.0369   0.1458     62  water filter
   0.0619   0.0709   0.0523   0.0998      7  pressure pan
   0.0619   0.0619   0.0403   0.0835      2  green bean
   0.0611   0.0658   0.0278   0.1058      3  food bag
   0.0609   0.0609   0.0609   0.0609      1  four
   0.0607   0.0644   0.0404   0.0966    100  pak choi
   0.0596   0.0580   0.0203   0.0904     10  fish bag
   0.0589   0.0659   0.0473   0.0917      9  food bin
   0.0586   0.0659   0.0405   0.0996      8  cardboard
   0.0583   0.0583   0.0576   0.0590      2  food processor engine
   0.0579   0.0516   0.0253   0.0737      8  ladder
   0.0577   0.0577   0.0577   0.0577      1  slow cooker
   0.0573   0.0662   0.0199   0.1250    366  colander
   0.0573   0.0829   0.0475   0.1388      4  packet beef
   0.0571   0.0672   0.0258   0.1239   1661  pan
   0.0566   0.0475   0.0137   0.0670     17  pak choi leaf
   0.0564   0.0564   0.0564   0.0564      1  tomato container
   0.0563   0.0569   0.0263   0.0967     17  salmon packaging
   0.0562   0.0730   0.0191   0.1699    123  box
   0.0560   0.0628   0.0323   0.1008     18  food processor cover
   0.0558   0.0558   0.0558   0.0558      1  rice cooker temperature
   0.0556   0.0446   0.0192   0.0644      5  water jug
   0.0555   0.0531   0.0409   0.0639      7  ketchup bottle
   0.0553   0.0555   0.0305   0.0762     11  mushroom box
   0.0551   0.0551   0.0551   0.0551      1  glass lid
   0.0546   0.0552   0.0246   0.0909      5  plastic box
   0.0544   0.0544   0.0297   0.0792      2  shaker
   0.0543   0.0640   0.0315   0.1032     40  wok
   0.0543   0.0543   0.0543   0.0543      1  minced meat package
   0.0536   0.0785   0.0389   0.1352     18  instruction booklet
   0.0534   0.0553   0.0266   0.0825     15  microwave door
   0.0533   0.0621   0.0471   0.0841     10  rice cooker pot
   0.0531   0.0531   0.0531   0.0531      1  cutlery tray
   0.0531   0.0931   0.0158   0.1872     18  foil paper
   0.0529   0.0529   0.0529   0.0529      1  steaming shelf
   0.0528   0.0521   0.0152   0.0871     59  chicken
   0.0528   0.0669   0.0296   0.1184      6  steamer tray
   0.0527   0.0647   0.0078   0.1288     11  freezer drawer
   0.0522   0.0618   0.0351   0.1036     25  bin
   0.0522   0.0701   0.0220   0.1388     10  potato bag
   0.0521   0.0492   0.0168   0.0835     18  wrap
   0.0512   0.0565   0.0216   0.0873     33  grill
   0.0509   0.0526   0.0415   0.0668      8  rice cooker bowl
   0.0508   0.0493   0.0465   0.0515      3  bread tupperware
   0.0506   0.0491   0.0346   0.0625      4  bay leaf packet
   0.0504   0.0548   0.0234   0.0934      5  tomato packaging
   0.0500   0.0470   0.0283   0.0644      3  flour box
   0.0497   0.0494   0.0203   0.0769     14  pasta strainer
   0.0488   0.0488   0.0488   0.0488      1  sandwich bread
   0.0488   0.0513   0.0086   0.0974    119  aubergine
   0.0487   0.0611   0.0405   0.0942      6  oven dish
   0.0484   0.0722   0.0181   0.1843     57  pasta bag
   0.0484   0.0534   0.0247   0.0915    384  kettle
   0.0482   0.0482   0.0224   0.0739      2  crisp packet
   0.0478   0.0452   0.0107   0.0727     29  oat package
   0.0472   0.0472   0.0470   0.0475      2  processor bit
   0.0472   0.0472   0.0472   0.0472      1  cheese mixture
   0.0472   0.0472   0.0417   0.0527      2  granola packet
   0.0470   0.0470   0.0461   0.0479      2  dish
   0.0469   0.0577   0.0140   0.1139    988  plate
   0.0467   0.0408   0.0163   0.0631      3  parmesan cheese
   0.0462   0.0540   0.0325   0.0925     17  cake mould
   0.0460   0.0541   0.0220   0.0833     41  plastic plate
   0.0459   0.0604   0.0317   0.0949      3  salad package
   0.0458   0.0388   0.0178   0.0543      4  salami packet
   0.0458   0.0461   0.0419   0.0503      3  oregano tupperware
   0.0456   0.0414   0.0247   0.0570     51  ice cube tray
   0.0452   0.0464   0.0247   0.0693      9  strainer
   0.0447   0.0582   0.0151   0.1264     30  oven mitt
   0.0446   0.0604   0.0165   0.1111     20  bread packet
   0.0443   0.0443   0.0431   0.0455      2  mobile
   0.0440   0.0440   0.0235   0.0646      2  trivet
   0.0440   0.0439   0.0226   0.0632     38  rice cooker lid
   0.0432   0.0430   0.0363   0.0496      3  pasta pack
   0.0432   0.0466   0.0398   0.0547      3  small pan
   0.0432   0.0385   0.0284   0.0468      3  coffee carafe
   0.0431   0.0390   0.0284   0.0455      6  oatmeal bag
   0.0431   0.0425   0.0198   0.0719      9  juice package
   0.0427   0.0376   0.0188   0.0483      7  jeera package
   0.0426   0.0615   0.0079   0.1580     17  table cloth
   0.0424   0.0424   0.0350   0.0498      2  iron packaging
   0.0424   0.0412   0.0114   0.0752     29  mesh
   0.0422   0.0431   0.0117   0.0857     17  tupperware lid
   0.0420   0.0402   0.0296   0.0494      4  curry leaf bag
   0.0415   0.0419   0.0360   0.0479      3  rice pot
   0.0410   0.0410   0.0376   0.0444      2  cleaning liquid bottle
   0.0408   0.0473   0.0189   0.0778     28  meat box
   0.0407   0.0407   0.0407   0.0407      1  tuna
   0.0405   0.0501   0.0161   0.0958    576  pot
   0.0404   0.0483   0.0125   0.0873    346  saucepan
   0.0403   0.0403   0.0403   0.0403      1  metal box
   0.0403   0.0384   0.0331   0.0430      3  oven mitten
   0.0402   0.0573   0.0155   0.1178     59  lettuce
   0.0401   0.0607   0.0215   0.1165      4  washing machine door
   0.0401   0.0445   0.0247   0.0803     38  fish
   0.0399   0.0400   0.0298   0.0486      7  pork
   0.0398   0.0363   0.0148   0.0549      4  sandwich bag
   0.0398   0.0324   0.0111   0.0481      7  granola package
   0.0396   0.0640   0.0106   0.1479    458  bag
   0.0393   0.0505   0.0198   0.0912     18  cheese container
   0.0393   0.0389   0.0119   0.0850     10  coffee filter bag
   0.0391   0.0538   0.0118   0.1112      8  pizza base packaging
   0.0390   0.0390   0.0307   0.0474      2  mobile/cell phone
   0.0390   0.0437   0.0217   0.0709      9  sushi mat
   0.0388   0.0464   0.0144   0.0863     72  sieve
   0.0387   0.0475   0.0229   0.0721     10  plastic container
   0.0387   0.0397   0.0210   0.0604    252  left glove
