# EPIC-KITCHENS filtered object labels
# 842 categories with median mask coverage >= 0.0050
# (removed 196 below threshold, 21 surface labels in separate file)
# sorted by median coverage descending
#
# count  name
    35  washing machine
   562  fridge
     1  cup board
    23  cabinet
    19  refrigerator
    27  garbage bin
   288  sink
    13  drying rack
    52  microwave
    42  freezer
     3  shreddies
    45  door
   877  cupboard
    10  oven tray
     5  hob/stove hob
     3  other containers
   251  hob
   192  oven
     6  cooker
    16  cupboard door
   195  hob/cooktop/stovetop
     3  microwave oven
    35  stove
     7  fridge door
     2  bags roll
     5  laundry basket
    10  recycling bin
     3  stool
    29  drainer
    67  baking paper
   114  dishwasher
     9  white bag
     2  parchment paper
    15  washing powder box
     2  extractor
     1  wrap package
     3  plastic pot
   154  clothes
     7  pizza box
     8  pea
     6  bread wrap bag
     2  laundry
     1  chilli bag
    13  dishwasher drawer
     3  foil package
    12  vegetable
     6  hamburger bun bag
    19  salad bowl
    26  food processor bowl
     1  metal plate
    11  cutting board
    32  trash bin
    20  silver foil
     5  trash can
   952  drawer
     1  coffee tray
   965  chopping board
     7  coconut package
    74  washing up bowl
     1  compost bin
     5  grill tray
     3  rubbish bin
   123  tray
    34  pizza base
     6  kitchen roll/paper towel roll
     3  tortilla packet
    41  cheese box
    16  flour packet
    69  pizza
    25  rubbish bag
     4  plastic bowl
   143  bin/garbage can/recycling bin
     2  mitten
     2  jeera bag
    61  baking tray
     7  food recycling bin
     2  trash bag
     2  apron
     1  electronic pot
    11  salmon packet
     1  salt jar
    10  rice cooker
   111  coffee machine
     3  recycling box
     4  coaster
     6  napkin
     1  machine
    11  kale
     3  steamer lid
     3  fan
     3  dust bin
    22  cooking pot
    21  paper piece
     2  rice cooker bucket
    62  water filter
     7  pressure pan
     2  green bean
     3  food bag
     1  four
   100  pak choi
    10  fish bag
     9  food bin
     8  cardboard
     2  food processor engine
     1  slow cooker
   366  colander
     4  packet beef
  1661  pan
    17  pak choi leaf
     1  tomato container
    17  salmon packaging
   123  box
    18  food processor cover
     1  rice cooker temperature
     5  water jug
     7  ketchup bottle
    11  mushroom box
     1  glass lid
     5  plastic box
     2  shaker
    40  wok
     1  minced meat package
    18  instruction booklet
    15  microwave door
    10  rice cooker pot
     1  cutlery tray
    18  foil paper
    59  chicken
     6  steamer tray
    11  freezer drawer
    25  bin
    10  potato bag
    18  wrap
    33  grill
     8  rice cooker bowl
     3  bread tupperware
     4  bay leaf packet
     5  tomato packaging
     3  flour box
    14  pasta strainer
     1  sandwich bread
   119  aubergine
     6  oven dish
    57  pasta bag
   384  kettle
     2  crisp packet
    29  oat package
     2  processor bit
     1  cheese mixture
     2  granola packet
     2  dish
   988  plate
     3  parmesan cheese
    17  cake mould
    41  plastic plate
     3  salad package
     4  salami packet
     3  oregano tupperware
    51  ice cube tray
     9  strainer
    30  oven mitt
    20  bread packet
     2  mobile
     2  trivet
    38  rice cooker lid
     3  pasta pack
     3  small pan
     3  coffee carafe
     6  oatmeal bag
     9  juice package
     7  jeera package
     2  iron packaging
    29  mesh
    17  tupperware lid
     4  curry leaf bag
     3  rice pot
     2  cleaning liquid bottle
    28  meat box
     1  tuna
   576  pot
   346  saucepan
     1  metal box
     3  oven mitten
    59  lettuce
     4  washing machine door
    38  fish
     7  pork
     4  sandwich bag
     7  granola package
   458  bag
    18  cheese container
    10  coffee filter bag
     8  pizza base packaging
     2  mobile/cell phone
     9  sushi mat
    72  sieve
    10  plastic container
   252  left glove
    36  pasta
     7  rice jar
    21  mushroom piece
    17  dustpan
     9  cheese packaging
    12  yoghurt cup
     4  chicken stock package
     2  transparent bag
    39  lunch box
